SportID,SportName,WorldGoverningBody,TeamID,TeamName,FoundedYear,Country,PlayerID,PlayerName,Nationality
2,Basketball,FIBA,256,MatrixMasters,2023,England,2045,Rafael,German
3,Tennis,ITF,258,VirtualVanguard,2023,France,2046,Owen,Spanish
4,Baseball,MLB,233,VictoryVanguard,2013,Italy,2047,Philip,Australian
1,Soccer,FIFA,216,AstralArtisans,1996,England,2048,Lamont,French
2,Basketball,FIBA,224,EtherEntities,2004,England,2049,Dustin,Italian
3,Tennis,ITF,278,ThunderTitans,2023,Italy,2050,Nelson,German
4,Baseball,MLB,225,SonicSorcerers,2005,England,2051,Leonidas,Spanish
1,Soccer,FIFA,237,VisionVanguard,2017,England,2052,Hezekiah,Australian
2,Basketball,FIBA,289,TargetTitans,2023,England,2053,Ivan,French
3,Tennis,ITF,289,TargetTitans,2023,England,2054,Derrick,Italian
4,Baseball,MLB,277,MosaicMavericks,2023,France,2055,Lennon,German
1,Soccer,FIFA,244,OmegaOracles,2023,France,2056,Ahmad,Spanish
2,Basketball,FIBA,222,QuantumQuesters,2002,England,2057,Salvador,Australian
3,Tennis,ITF,225,SonicSorcerers,2005,England,2058,Nathanael,French
4,Baseball,MLB,295,ZephyrZealots,2023,England,2059,Aden,Italian
1,Soccer,FIFA,274,FocusFrontiers,2023,USA,2060,Allen,German
2,Basketball,FIBA,298,NebulaNavigators,2023,France,2061,Ernest,Spanish
3,Tennis,ITF,209,BestBrigade,1989,Italy,2062,Yair,Australian
4,Baseball,MLB,242,ChronoChampions,2022,England,2063,Kael,French
1,Soccer,FIFA,214,SolarSentries,1994,Spain,2064,Tristan,Italian
2,Basketball,FIBA,251,QuantumQuartet,2023,England,2065,Elliot,German
3,Tennis,ITF,203,EliteSquad,1983,Spain,2066,Ben,Spanish
4,Baseball,MLB,217,MasteryMavericks,1997,England,2067,Adam,Australian
1,Soccer,FIFA,264,SummitSeekers,2023,England,2068,Vaughn,French
2,Basketball,FIBA,233,VictoryVanguard,2013,Italy,2069,Jay,Italian
3,Tennis,ITF,200,CyberCenturions,1980,Spain,2070,Danny,German
4,Baseball,MLB,254,ExcellenceElite,2023,France,2071,Jaylan,Spanish
1,Soccer,FIFA,238,VoidVoyagers,2018,England,2072,Alijah,Australian
2,Basketball,FIBA,248,BestBattlers,2023,England,2073,Rudy,French
3,Tennis,ITF,249,MasteryMinds,2023,Italy,2074,Angelo,Italian
4,Baseball,MLB,294,WinWarriors,2023,Italy,2075,Billy,German
1,Soccer,FIFA,250,LunarLuminaries,2023,England,2076,Isiah,Spanish
2,Basketball,FIBA,253,CrypticCrusaders,2023,Italy,2077,Darryl,Australian
3,Tennis,ITF,232,PixelPraetorians,2012,England,2078,Ramon,French
4,Baseball,MLB,292,MissionMasters,2023,France,2079,Ulises,Italian
1,Soccer,FIFA,209,BestBrigade,1989,Italy,2080,Joe,German
2,Basketball,FIBA,206,ZeroGravity,1986,France,2081,Mauricio,Spanish
3,Tennis,ITF,236,FutureFrontiers,2016,France,2082,Seamus,Australian
4,Baseball,MLB,215,InfinityInvaders,1995,England,2083,Skyler,French
1,Soccer,FIFA,212,PursuitPros,1992,Spain,2084,Rey,Italian
2,Basketball,FIBA,219,VortexVoyagers,1999,Italy,2085,Ellis,German
3,Tennis,ITF,265,IceInferno,2023,France,2086,Antony,Spanish
4,Baseball,MLB,220,GoalGuardians,2000,Italy,2087,Trenton,Australian
1,Soccer,FIFA,218,AmbitionArmy,1998,England,2088,Conrad,French
2,Basketball,FIBA,200,CyberCenturions,1980,Spain,2089,Cohen,Italian
3,Tennis,ITF,231,StealthSeekers,2011,England,2090,Marques,German
4,Baseball,MLB,299,LiquidLuminaries,2023,France,2091,Jaxson,Spanish
1,Soccer,FIFA,302,SuccessSquad,2023,Italy,2092,Corbin,Australian
2,Basketball,FIBA,231,StealthSeekers,2011,England,2093,Casey,French
3,Tennis,ITF,275,ChallengeChamps,2023,France,2094,Bruce,Italian
4,Baseball,MLB,228,NeonKnights,2008,USA,2095,Trevor,German
1,Soccer,FIFA,291,VirtueVoyagers,2023,France,2096,Zachariah,Spanish
2,Basketball,FIBA,220,GoalGuardians,2000,Italy,2097,Sidney,Australian
3,Tennis,ITF,217,MasteryMavericks,1997,England,2098,Leonard,French
4,Baseball,MLB,268,NexusNavigators,2023,England,2099,Enrique,Italian
1,Soccer,FIFA,248,BestBattlers,2023,England,2100,Deon,German
2,Basketball,FIBA,279,BlazeBlitzers,2023,France,2101,Marcelo,Spanish
3,Tennis,ITF,283,PulsePredators,2023,France,2102,Zayden,Australian
4,Baseball,MLB,237,VisionVanguard,2017,England,2103,Curtis,French
1,Soccer,FIFA,290,PixelPioneers,2023,Spain,2104,Atticus,Italian
2,Basketball,FIBA,228,NeonKnights,2008,USA,2105,Solomon,German
3,Tennis,ITF,279,BlazeBlitzers,2023,France,2106,Louis,Spanish
4,Baseball,MLB,245,HoloHeralds,2023,Italy,2107,Willie,Australian
1,Soccer,FIFA,263,DigitalDragons,2023,England,2108,Vincent,French
2,Basketball,FIBA,300,AimAchievers,2023,Spain,2109,Jason,Italian
3,Tennis,ITF,296,HelixHarbingers,2023,USA,2110,Kai,German
4,Baseball,MLB,201,ConquestCrew,1981,France,2111,Malik,Spanish
1,Soccer,FIFA,206,ZeroGravity,1986,France,2112,Korbin,Australian
2,Basketball,FIBA,271,TurboTempest,2023,England,2113,Misael,French
3,Tennis,ITF,282,EchoEnvoys,2023,France,2114,Rishi,Italian
4,Baseball,MLB,246,OmegaOutlaws,2023,France,2115,Roy,German
1,Soccer,FIFA,277,MosaicMavericks,2023,France,2116,Blake,Spanish
2,Basketball,FIBA,252,ElectricEagles,2023,England,2117,Peter,Australian
3,Tennis,ITF,230,SynthSeekers,2010,England,2118,Dario,French
4,Baseball,MLB,244,OmegaOracles,2023,France,2119,Lee,Italian
1,Soccer,FIFA,208,DigitalDervish,1988,England,2120,Kaiden,German
2,Basketball,FIBA,283,PulsePredators,2023,France,2121,Nikolas,Spanish
3,Tennis,ITF,202,GalacticGuardians,1982,Italy,2122,Drake,Australian
4,Baseball,MLB,276,PeakPursuers,2023,England,2123,Lamar,French
1,Soccer,FIFA,214,SolarSentries,1994,Spain,2124,Jaydon,Italian
2,Basketball,FIBA,243,RadiantRiders,2023,Spain,2125,Kayden,German
3,Tennis,ITF,273,LunarLegends,2023,France,2126,Aldo,Spanish
4,Baseball,MLB,213,CosmicCrusaders,1993,France,2127,Austin,Australian
1,Soccer,FIFA,222,QuantumQuesters,2002,England,2128,Zachary,French
2,Basketball,FIBA,261,ProPioneers,2023,England,2129,Tripp,Italian
3,Tennis,ITF,287,RealityRavagers,2023,USA,2130,Rogelio,German
4,Baseball,MLB,272,EtherExplorers,2023,France,2131,Daniel,Spanish
1,Soccer,FIFA,205,TriumphTroopers,1985,Italy,2132,Dillan,Australian
2,Basketball,FIBA,295,ZephyrZealots,2023,England,2133,Sheldon,French
3,Tennis,ITF,203,EliteSquad,1983,Spain,2134,Efrain,Italian
4,Baseball,MLB,210,AstralAces,1990,France,2135,Zackary,German
1,Soccer,FIFA,247,MatrixMystics,2023,France,2136,Neil,Spanish
2,Basketball,FIBA,219,VortexVoyagers,1999,Italy,2137,Elliott,Australian
3,Tennis,ITF,255,MysticMatrix,2023,England,2138,Sammy,French
4,Baseball,MLB,259,DigitalDruids,2023,France,2139,Gilberto,Italian
1,Soccer,FIFA,273,LunarLegends,2023,France,2140,Tate,German
2,Basketball,FIBA,282,EchoEnvoys,2023,France,2141,Aaron,Spanish
3,Tennis,ITF,253,CrypticCrusaders,2023,Italy,2142,Hassan,Australian
4,Baseball,MLB,256,MatrixMasters,2023,England,2143,Braeden,French
1,Soccer,FIFA,298,NebulaNavigators,2023,France,2144,Trace,Italian
2,Basketball,FIBA,234,LeadingLuminaries,2014,France,2145,Colten,German
3,Tennis,ITF,293,SynapseSquad,2023,France,2146,Callum,Spanish
4,Baseball,MLB,235,ChronoCrew,2015,Italy,2147,Roger,Australian
1,Soccer,FIFA,255,MysticMatrix,2023,England,2148,Rocco,French
2,Basketball,FIBA,243,RadiantRiders,2023,Spain,2149,Kyler,Italian
3,Tennis,ITF,269,PinnaclePros,2023,USA,2150,Evan,German
4,Baseball,MLB,210,AstralAces,1990,France,2151,Oliver,Spanish
1,Soccer,FIFA,226,FrostFrontiers,2006,Italy,2152,Dean,Australian
2,Basketball,FIBA,229,NovaNomads,2009,England,2153,Chance,French
3,Tennis,ITF,240,HoloHeroes,2020,Spain,2154,Sincere,Italian
4,Baseball,MLB,285,VoxelVanguard,2023,Spain,2155,Kendrick,German
1,Soccer,FIFA,259,DigitalDruids,2023,France,2156,Antonio,Spanish
2,Basketball,FIBA,242,ChronoChampions,2022,England,2157,Demarion,Australian
3,Tennis,ITF,297,PixelPilgrims,2023,England,2158,Reginald,French
4,Baseball,MLB,223,NeonNomads,2003,France,2159,Fisher,Italian
1,Soccer,FIFA,290,PixelPioneers,2023,Spain,2160,Ramiro,German
2,Basketball,FIBA,275,ChallengeChamps,2023,France,2161,Tyrell,Spanish
3,Tennis,ITF,241,EtherEagles,2021,England,2162,Kenny,Australian
4,Baseball,MLB,208,DigitalDervish,1988,England,2163,Jerome,French
1,Soccer,FIFA,216,AstralArtisans,1996,England,2164,Carmelo,Italian
2,Basketball,FIBA,226,FrostFrontiers,2006,Italy,2165,Joseph,German
3,Tennis,ITF,286,SuccessSeekers,2023,England,2166,Landin,Spanish
4,Baseball,MLB,267,QuestQuesters,2023,Italy,2167,Karson,Australian
1,Soccer,FIFA,229,NovaNomads,2009,England,2168,Bridger,French
2,Basketball,FIBA,285,VoxelVanguard,2023,Spain,2169,Isaiah,Italian
3,Tennis,ITF,263,DigitalDragons,2023,England,2170,Jace,German
4,Baseball,MLB,201,ConquestCrew,1981,France,2171,Harley,Spanish
1,Soccer,FIFA,278,ThunderTitans,2023,Italy,2172,Yusuf,Australian
2,Basketball,FIBA,286,SuccessSeekers,2023,England,2173,Albert,French
3,Tennis,ITF,288,PhantomPhalanx,2023,Spain,2174,Aiden,Italian
4,Baseball,MLB,299,LiquidLuminaries,2023,France,2175,Pranav,German
1,Soccer,FIFA,262,DigitalDynamo,2023,France,2176,Raymond,Spanish
2,Basketball,FIBA,281,TopTierTacticians,2023,Italy,2177,Valentin,Australian
3,Tennis,ITF,252,ElectricEagles,2023,England,2178,Jovany,French
4,Baseball,MLB,203,EliteSquad,1983,Spain,2179,Waylon,Italian
1,Soccer,FIFA,274,FocusFrontiers,2023,USA,2180,Ibrahim,German
2,Basketball,FIBA,236,FutureFrontiers,2016,France,2181,Jaydin,Spanish
3,Tennis,ITF,294,WinWarriors,2023,Italy,2182,Demetrius,Australian
4,Baseball,MLB,280,VirtualVoyagers,2023,England,2183,Isai,French
1,Soccer,FIFA,211,BinaryBrigade,1991,France,2184,Kole,Italian
2,Basketball,FIBA,240,HoloHeroes,2020,Spain,2185,Jayson,German
3,Tennis,ITF,246,OmegaOutlaws,2023,France,2186,Damari,Spanish
4,Baseball,MLB,297,PixelPilgrims,2023,England,2187,Terrell,Australian
1,Soccer,FIFA,215,InfinityInvaders,1995,England,2188,Levi,French
2,Basketball,FIBA,281,TopTierTacticians,2023,Italy,2189,Gregory,Italian
3,Tennis,ITF,207,VortexVisionaries,1987,France,2190,Cade,German
4,Baseball,MLB,301,GoldGoalGetters,2023,France,2191,Houston,Spanish
1,Soccer,FIFA,302,SuccessSquad,2023,Italy,2192,Nickolas,Australian
2,Basketball,FIBA,224,EtherEntities,2004,England,2193,Eli,French
3,Tennis,ITF,260,ProgressPioneers,2023,England,2194,London,Italian
4,Baseball,MLB,300,AimAchievers,2023,Spain,2195,Ignacio,German
1,Soccer,FIFA,211,BinaryBrigade,1991,France,2196,Rhett,Spanish
2,Basketball,FIBA,245,HoloHeralds,2023,Italy,2197,Branson,Australian
3,Tennis,ITF,238,VoidVoyagers,2018,England,2198,Reed,French
